precinct,bennet_pct,opp_pct,turnout_pct,votes_cast,registered
626,51.7,46.0,61.6,767,1246
650,42.9,56.5,51.3,447,872
720,40.4,59.5,48.5,371,766
721,62.5,33.2,73.9,1255,1699
723,50.5,47.5,60.1,716,1193
724,53.1,44.4,63.2,825,1306
725,40.6,59.3,48.7,376,774
740,48.3,50.1,57.6,635,1103
745,64.8,30.4,76.6,1378,1799
747,57.8,38.8,68.5,1028,1501
748,60.9,35.1,72.2,1180,1635
901,60.8,35.2,72.0,1172,1628
